"","rowname","date","year","site","set_num","time_in","time_out","SthdW","SthdH","BullTrout","Chinook","Sucker","peamouth","whitefish","Bank","Comment","Mesh","week","trs","flow","day","month","zl_flow","effort","lm_trs","period"
"1","1",2013-02-20,1,"Cable",1,09:26:00,09:38:00,2,NA,NA,NA,NA,NA,NA,"North",NA,"3 1/2",8,8932,368.118658802142,19,2,-0.433696293246591,2592000,8.83641026747651,19
"2","2",2013-02-20,1,"Cable",2,09:50:00,09:58:00,1,NA,NA,NA,NA,NA,2,"South",NA,"2",8,8932,368.118658802142,19,2,-0.433696293246591,1728000,8.83641026747651,19
"3","3",2013-02-27,1,"Cable",1,10:50:00,11:05:00,5,1,0,NA,"71",NA,NA,"North",NA,"3 1/2",9,8932,382.27706875607,26,2,-0.288293739005545,3240000,8.83641026747651,26
"4","4",2013-02-27,1,"Cable",2,11:19:00,11:29:00,0,NA,6,NA,"0",NA,NA,"South",NA,"3 1/2",9,8932,382.27706875607,26,2,-0.288293739005545,2160000,8.83641026747651,26
"5","5",2013-03-08,1,"Cable",1,09:21:00,09:32:00,0,NA,0,NA,NA,NA,NA,"South",NA,"4 1/4",10,8932,308.653336995642,35,3,-1.112492117563,2376000,8.83641026747651,35
"6","6",2013-03-08,1,"Cable",2,09:37:00,09:48:00,0,NA,3,NA,"7",NA,NA,"middle",NA,"4 1/4",10,8932,308.653336995642,35,3,-1.112492117563,2376000,8.83641026747651,35
"7","7",2013-03-08,1,"Cable",2,09:59:00,10:17:00,6,1,0,NA,NA,NA,NA,"North","one sthd got out","4 1/4",10,8932,308.653336995642,35,3,-1.112492117563,3888000,8.83641026747651,35
"8","8",2013-03-12,1,"Cable",1,09:31:00,09:41:00,0,NA,NA,NA,NA,NA,NA,"North","2 hit but no capture, brief snag","4 5/8",11,8932,294.494927041713,39,3,-1.29340377480982,2160000,8.83641026747651,39
"9","9",2013-03-12,1,"Cable",2,09:51:00,09:59:00,0,NA,1,NA,NA,NA,NA,"South",NA,"4 5/8",11,8932,294.494927041713,39,3,-1.29340377480982,1728000,8.83641026747651,39
"10","10",2013-03-20,1,"Cable",1,11:22:00,11:34:00,1,NA,3,NA,"1",NA,NA,"North","Windy","4 5/8",12,8932,461.56416449807,47,3,0.437847481507182,2592000,8.83641026747651,47
"11","11",2013-03-20,1,"Cable",2,11:39:00,11:43:00,1,NA,1,NA,"5",NA,NA,"South","Windy","4 5/8",12,8932,461.56416449807,47,3,0.437847481507182,864000,8.83641026747651,47
"12","12",2013-03-28,1,"Cable",1,09:33:00,09:45:00,7,1,NA,NA,NA,NA,NA,"North",NA,NA,13,8932,336.970156903499,55,3,-0.774318108366055,2592000,8.83641026747651,55
"13","13",2013-03-28,1,"Cable",2,09:55:00,10:05:00,0,NA,4,NA,NA,NA,NA,"South",NA,NA,13,8932,336.970156903499,55,3,-0.774318108366055,2160000,8.83641026747651,55
"14","14",2013-04-04,1,"Cable",1,09:05:00,09:10:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8932,637.128447926784,62,4,1.67976945591708,1080000,8.83641026747651,62
"15","15",2013-04-04,1,"Cable",2,08:57:00,09:03:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8932,637.128447926784,62,4,1.67976945591708,1296000,8.83641026747651,62
