,Date,Year,Day,Week,Set,TimeDeployed,Count,ProportionFemale,MeanCPUE,TotalCatch,DailyWTMP,DailyPRES,DailyWSPD
181,10/16/1981,1981,289,42,1,,0,NA,5,27,28.62083333,1017.079167,5.4875
186,10/16/1981,1981,289,42,2,,8,NA,5,27,28.62083333,1017.079167,5.4875
182,10/16/1981,1981,289,42,3,,8,NA,5,27,28.62083333,1017.079167,5.4875
183,10/16/1981,1981,289,42,4,,8,NA,5,27,28.62083333,1017.079167,5.4875
187,10/16/1981,1981,289,42,5,,3,NA,5,27,28.62083333,1017.079167,5.4875
698,10/29/1981,1981,302,44,1,,100,NA,170,1363,26.825,1016.525,3.108333333
694,10/29/1981,1981,302,44,2,,338,NA,170,1363,26.825,1016.525,3.108333333
696,10/29/1981,1981,302,44,3,,286,NA,170,1363,26.825,1016.525,3.108333333
700,10/29/1981,1981,302,44,4,,45,NA,170,1363,26.825,1016.525,3.108333333
697,10/29/1981,1981,302,44,5,,293,NA,170,1363,26.825,1016.525,3.108333333
699,10/29/1981,1981,302,44,6,,154,NA,170,1363,26.825,1016.525,3.108333333
695,10/29/1981,1981,302,44,7,,76,NA,170,1363,26.825,1016.525,3.108333333
1462,11/6/1981,1981,310,45,1,,2,NA,31,277,26.58333333,1019.275,4.716666667
1461,11/6/1981,1981,310,45,2,,0,NA,31,277,26.58333333,1019.275,4.716666667
1460,11/6/1981,1981,310,45,3,,3,NA,31,277,26.58333333,1019.275,4.716666667
1456,11/6/1981,1981,310,45,4,,27,NA,31,277,26.58333333,1019.275,4.716666667
1458,11/6/1981,1981,310,45,5,,62,NA,31,277,26.58333333,1019.275,4.716666667
1459,11/6/1981,1981,310,45,6,,108,NA,31,277,26.58333333,1019.275,4.716666667
1457,11/6/1981,1981,310,45,7,,48,NA,31,277,26.58333333,1019.275,4.716666667
860,10/8/1982,1982,281,41,1,,64,NA,42,336,26.30416667,1014.991667,3.6
865,10/8/1982,1982,281,41,2,,113,NA,42,336,26.30416667,1014.991667,3.6
862,10/8/1982,1982,281,41,3,,36,NA,42,336,26.30416667,1014.991667,3.6
859,10/8/1982,1982,281,41,4,,8,NA,42,336,26.30416667,1014.991667,3.6
864,10/8/1982,1982,281,41,5,,4,NA,42,336,26.30416667,1014.991667,3.6
861,10/8/1982,1982,281,41,6,,88,NA,42,336,26.30416667,1014.991667,3.6
863,10/8/1982,1982,281,41,7,,23,NA,42,336,26.30416667,1014.991667,3.6
430,10/22/1982,1982,295,43,1,,107,NA,320,1917,23.85,1021.0875,7.979166667
428,10/22/1982,1982,295,43,2,,358,NA,320,1917,23.85,1021.0875,7.979166667
429,10/22/1982,1982,295,43,3,,338,NA,320,1917,23.85,1021.0875,7.979166667
426,10/22/1982,1982,295,43,4,,199,NA,320,1917,23.85,1021.0875,7.979166667
424,10/22/1982,1982,295,43,5,,332,NA,320,1917,23.85,1021.0875,7.979166667
427,10/22/1982,1982,295,43,6,,583,NA,320,1917,23.85,1021.0875,7.979166667
746,10/30/1982,1982,303,44,1,,11,NA,156,1094,21.67916667,1018.95,5.529166667
747,10/30/1982,1982,303,44,2,,78,NA,156,1094,21.67916667,1018.95,5.529166667
748,10/30/1982,1982,303,44,3,,80,NA,156,1094,21.67916667,1018.95,5.529166667
745,10/30/1982,1982,303,44,4,,144,NA,156,1094,21.67916667,1018.95,5.529166667
744,10/30/1982,1982,303,44,5,,145,NA,156,1094,21.67916667,1018.95,5.529166667
742,10/30/1982,1982,303,44,6,,528,NA,156,1094,21.67916667,1018.95,5.529166667
743,10/30/1982,1982,303,44,7,,108,NA,156,1094,21.67916667,1018.95,5.529166667
1464,11/6/1982,1982,310,45,1,,585,NA,211,1474,NA,1026.320833,6.3375
1463,11/6/1982,1982,310,45,2,,132,NA,211,1474,NA,1026.320833,6.3375
1467,11/6/1982,1982,310,45,3,,171,NA,211,1474,NA,1026.320833,6.3375
1468,11/6/1982,1982,310,45,4,,37,NA,211,1474,NA,1026.320833,6.3375
1465,11/6/1982,1982,310,45,5,,107,NA,211,1474,NA,1026.320833,6.3375
1466,11/6/1982,1982,310,45,6,,204,NA,211,1474,NA,1026.320833,6.3375
