ensemble_forecast_posterior_2017,ensemble_forecast_posterior_2019,ensemble_forecast_posterior_2020,ensemble_forecast_posterior_2022,ensemble_forecast_posterior_2023,ensemble_forecast_posterior_2024
7371.817655,8150.135337,4569.343168,3221.59145,4537.589876,1684.928654
8320.036565,6525.636412,5359.978998,3843.266537,4448.649905,1845.327443
10789.55884,7917.951274,4817.694858,3587.529554,7611.826687,1905.800562
8616.802315,7372.665685,6867.189719,5274.869586,5203.015979,1987.125149
8488.482972,8126.476693,5272.814741,3241.716236,5020.560741,2017.360368
9432.331434,9519.194374,5065.798957,3775.732935,6253.09996,2062.494771
8027.120415,5967.96657,5853.222278,4352.120958,4766.231824,2112.33369
8315.363854,6503.001881,7036.957975,4943.464028,4532.224397,2146.120903
11402.83983,5885.854523,5155.171103,6100.232977,5573.282214,2176.429754
10384.93781,6703.914682,5681.006666,3380.582361,4489.23411,2198.652008
9296.37494,6476.574999,6650.036961,4554.626325,4802.606251,2239.717536
9085.506046,6101.588445,5634.022015,4167.242941,4278.300438,2248.843354
10791.54091,7849.460821,5149.366946,4074.148566,5231.667134,2262.079289
7059.637468,7007.106026,4537.360093,4580.143232,4728.189131,2273.867483
6400.863676,7034.092274,5849.831745,5539.973458,6208.697453,2285.013995
8402.033684,7073.197908,4978.364809,3484.212768,4736.761697,2306.816381
9853.634022,6996.708824,4949.756417,3305.00745,5607.45115,2338.258077
9180.813016,6673.573602,4967.191903,2610.295529,4240.899001,2356.509023
10091.39599,6533.974968,5697.779013,4669.360418,6056.757768,2367.075144
9923.03402,6704.634942,5204.869019,4327.634069,7569.883282,2383.645436
5967.435019,6636.729173,3898.997114,5416.59751,4346.32815,2387.821999
10605.60009,6927.614003,6667.721641,4396.882923,5635.824556,2397.683854
10672.88926,5874.943886,5007.91855,4086.294955,5702.482012,2401.968425
6893.491219,7735.82664,5225.592372,3959.273229,6195.36634,2405.437053
9242.135799,6641.069856,4191.143966,4902.417366,5190.085752,2417.871995
9308.059849,6468.084995,5124.560429,3284.438555,5576.148899,2427.955025
6857.380325,7523.852095,5597.251759,3345.778208,5608.615281,2436.939163
8856.94242,9550.101579,5160.489577,3650.764134,4290.984836,2452.562675
8628.439305,7728.823155,6213.438692,4076.906298,4730.308033,2456.199834
10789.17297,9914.813157,6303.958765,5141.466627,5825.926599,2459.849736
6753.2097,7491.272188,4694.587246,3537.943698,5366.61611,2468.086511
9597.039097,6282.312812,5838.492308,4335.3267,6274.228042,2473.770347
7968.025154,6690.163971,5788.892067,3639.521062,5449.171867,2485.420364
8802.860855,6564.342789,6021.830592,4317.801973,5320.022455,2489.232437
7447.630893,6919.2711,5572.160055,3430.725884,4564.71123,2500.28035
8450.689149,7218.054683,5222.124503,4573.545593,6947.970019,2507.518775
9880.47741,6644.942012,5458.396534,3022.308839,5558.073035,2511.083992
7228.315783,5833.812536,5537.117309,3711.558459,6850.543441,2519.497269
9900.050624,6285.090621,4433.487581,3344.642381,4762.859176,2523.846806
8233.304994,6598.165484,5916.611329,3973.971951,5446.869305,2539.534255
6653.117486,8123.572806,4355.948586,3749.444717,7011.316424,2554.743319
8280.233506,8046.184309,4372.741535,4511.548622,5174.256226,2558.47595
7120.373626,6911.442779,4808.961148,4249.167515,4507.239898,2569.281781
7758.601872,6615.596696,6454.905888,3686.075627,5093.744138,2583.960977
9665.470959,6774.071968,5212.086388,4378.41948,4188.579241,2586.591254
8378.260863,6903.341521,5168.565073,3766.443908,5165.70326,2596.526931
9437.672093,6428.865983,3972.161767,4890.112877,7206.541726,2605.312947
7015.713302,7995.080897,6915.101433,2957.029532,4571.025943,2611.614494
10493.7506,10730.85984,5660.667274,5259.666877,4931.287,2616.079892
7050.603653,7068.731823,7083.531834,4339.853707,5224.121546,2620.898887
8745.236996,8196.3749,5075.871333,4021.059473,4555.358653,2629.420876
7903.167161,5557.951372,5713.445404,3130.343982,6513.446672,2634.272773
8150.230922,6235.423332,4776.460581,3961.074294,5408.758521,2643.650694
8708.371833,7034.865742,6350.139759,4949.71859,5014.303612,2646.777266
8119.95671,6596.714866,6742.02701,2882.946064,5495.377171,2652.818054
11413.87303,9888.017589,4833.083882,4183.194809,4902.912199,2661.080211
8286.790953,7591.400443,5687.255714,3241.401842,4751.954848,2663.585793
9434.066913,6644.726875,5169.397106,3826.622319,5818.507923,2672.16914
10106.43966,5712.984022,4847.999784,3439.852545,4966.973626,2675.642418
9093.773109,6065.196964,5625.738597,3886.248079,5849.575032,2683.752554
8111.174623,5194.135043,5553.415739,3250.822016,5441.029235,2690.999558
8053.210376,5515.513157,5814.829215,3988.721992,5184.707815,2697.368676
7143.94061,6718.302995,5746.179157,3872.12732,5300.158325,2700.415144
8497.982057,6357.00735,4151.315057,3314.170874,5326.539391,2704.306523
11631.52631,6158.293526,5696.047332,4157.755925,7264.471222,2710.302624
10142.57036,6105.746023,4166.834335,4690.682512,5470.496018,2712.168951
8849.921097,6759.811512,4874.661896,4715.384379,6748.272221,2716.639155
7029.52179,7736.627925,7531.611712,3292.723966,6653.302377,2719.055053
8004.166335,8168.864872,5784.199975,3912.159591,5123.005215,2721.090211
7634.630341,7444.571302,5975.314171,4214.68052,5798.20663,2724.293528
7728.793669,10327.14709,6266.50798,3913.924957,5526.197462,2730.406298
8944.290836,5389.461637,4908.304013,3978.242532,4712.041976,2737.905883
