"","Estimate"
"1",50401.9106326063
"2",32112.1524980821
"3",10055.8956633708
"4",17311.7801597358
"5",23721.6207165407
"6",61459.2874897798
"7",34068.2300195215
"8",23130.8712326749
"9",36407.0187171334
"10",6775.59331986914
"11",15769.3707167177
"12",29376.6948626255
"13",24951.6207466979
"14",58217.2552258878
"15",23673.9516411886
"16",32945.2940890483
"17",93720.8891335413
"18",14523.4581356412
"19",88296.6535840781
"20",44104.591049517
"21",48098.8633305008
"22",20593.8544652386
"23",69017.6578249295
"24",26329.5916786032
"25",52942.3325200547
"26",102874.819224569
"27",17298.7182379577
"28",45461.5252074213
"29",66529.180576659
"30",64974.2910995345
"31",8536.05184845043
"32",8064.27793067383
"33",39862.3549615502
"34",89205.5192553942
"35",58999.2945502761
"36",188474.592733207
"37",44053.4165846131
"38",20438.6902844902
"39",55393.2303023082
"40",20472.7515393665
"41",83932.9660655049
"42",33091.8210651705
"43",6786.8651307733
"44",28380.1754723297
"45",13229.5549859893
"46",14841.2989617958
"47",21346.278246639
"48",9249.63659313251
"49",17050.2168264685
"50",19008.9410280283
"51",15125.6691590035
"52",40671.1395010001
"53",11529.0953954249
"54",24889.7263689276
"55",26055.560207177
"56",43278.4072346041
"57",10152.5220949325
"58",21086.4601020949
"59",19384.0110925152
"60",18491.6283021321
"61",145812.679350379
"62",4078.96576005574
"63",9054.86088928909
"64",37657.2398389957
"65",27483.9140522191
"66",5937.21514624003
"67",101014.491082989
"68",45059.1259727217
"69",31860.0404097056
"70",29345.0854327787
"71",23289.945787178
"72",24850.1595415675
"73",16079.5508728757
"74",10923.2243103206
"75",38261.0567575777
"76",29406.6309864002
"77",28855.4723457193
"78",17801.9120328521
"79",13897.7178524866
"80",9527.65020991437
"81",4430.28569655329
"82",44270.69421988
"83",53985.3935888745
"84",10421.2498427434
"85",43659.4835541768
"86",21065.2550650243
"87",28788.076637808
"88",51649.5407779753
"89",2098.14018622186
"90",24645.8868307495
"91",54557.6088219971
"92",53774.9703988596
"93",15298.7823834135
"94",67703.8624023287
"95",11422.2409725443
"96",44436.0703867632
"97",10775.2739665216
"98",21482.3538930522
"99",48461.7885548674
"100",25136.7061011464
"101",39532.0286558595
"102",34198.2165361319
"103",59330.9607077033
"104",16171.2816271925
"105",26304.6439588701
"106",123937.098070184
"107",9748.19997983295
"108",13178.0291173454
"109",23105.6010164346
"110",34129.8388044999
"111",84451.4856956186
"112",46033.0971100363
"113",24872.5034143801
"114",19872.2766455429
"115",42700.9805126854
"116",29260.6069115551
"117",54560.4611799199
"118",82857.8761228003
"119",34757.2638190762
"120",28836.6000206516
"121",26648.9221817641
"122",5977.32686104815
"123",100318.95836987
"124",73738.0568544555
"125",18179.8089417968
"126",4950.65923467579
"127",20537.6029893462
"128",13429.4299807261
"129",40139.7103687869
"130",48475.3193646813
"131",35736.4440037288
"132",71290.2771019169
"133",34635.051799227
"134",88295.71804601
"135",23061.1666294099
"136",13987.2768957724
"137",40727.3532302009
"138",7642.61479448373
"139",33652.8980572822
"140",13641.4121259958
"141",84219.4972482675
"142",20324.7560834832
"143",33882.3746374984
"144",27234.9343067257
"145",67681.2184099061
"146",15375.0883756506
"147",14355.5679075321
"148",26862.5968520849
"149",13408.8937598363
"150",24648.8925305265
"151",33192.5315520635
"152",37588.4602624058
"153",21864.0044437065
"154",27665.9788707062
"155",70729.4715788103
"156",83781.9792792881
"157",47023.9872309576
"158",28311.4543216397
"159",25171.5804200533
"160",46274.9766432508
"161",12089.3515297138
"162",30018.717475753
"163",21482.0437156965
"164",10509.9461776141
"165",23081.2554565545
"166",37485.4542423752
"167",32207.9926325471
"168",9064.90051980889
"169",48762.4879705494
"170",33286.6251595483
"171",18921.2469978582
"172",30560.9753457498
"173",11925.172726762
"174",61068.5537607798
"175",25561.0238791787
"176",23614.3699363824
"177",25009.5406183606
"178",7240.18070914071
"179",21699.6795967069
"180",18968.7162795727
"181",41868.2810086073
"182",31057.9914538899
"183",22227.1019216478
"184",9706.61968761874
"185",18755.2121438636
"186",24727.6288311907
"187",31115.3356054535
"188",38823.1915616813
"189",48920.9225465974
"190",19900.8607179327
"191",39229.4692645571
"192",14593.4959872032
