"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",1.19486484313649,0.853056836003874,-0.0604613484052667,0.559100029313717,0.968814385689383,1.7907149636296,2.96388543534257,2.55504293389686,5
"b1[3]",0.965412582822213,0.85132933401325,-0.273601030904064,0.328773013293207,0.736331847012186,1.5401417507402,2.74111513768542,2.53688717684889,5
"b1[4]",-0.217984748844362,1.00044621077129,-2.03401612322583,-0.908156022627222,-0.314041277083016,0.415620744773308,1.89270385021459,1.66640005796264,8
"b1[5]",0.606160662768623,0.855650785111076,-0.637833973467528,-0.0355316180246339,0.367508524420384,1.19729252992083,2.38112611183204,2.54205531284987,5
"b1[6]",-3.9048372877435,1.95008777074267,-8.83001470390501,-4.78885166784683,-3.55098379026561,-2.62253039127611,-1.1903783727404,1.21568550208783,17
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.979650980143712,0.114803911740648,-1.20087687583867,-1.05905504137755,-0.978135270610449,-0.901421984988419,-0.756595591827148,1.00333521289425,880
"b3[1]",0.260985345483537,0,0.260985345483537,0.260985345483537,0.260985345483537,0.260985345483537,0.260985345483537,1,1
"b3[2]",0.30500865903325,0,0.30500865903325,0.30500865903325,0.30500865903325,0.30500865903325,0.30500865903325,1,1
"b3[3]",0.241997433238845,0,0.241997433238845,0.241997433238845,0.241997433238845,0.241997433238845,0.241997433238845,1,1
"b3[4]",0.151910920847172,0,0.151910920847172,0.151910920847172,0.151910920847172,0.151910920847172,0.151910920847172,1,1
"b3[5]",-0.0583924577783748,0,-0.0583924577783748,-0.0583924577783748,-0.0583924577783748,-0.0583924577783748,-0.0583924577783748,1,1
"b3[7]",-0.395018789476556,0,-0.395018789476556,-0.395018789476556,-0.395018789476556,-0.395018789476556,-0.395018789476556,1,1
"b3[8]",-0.802103331137022,0,-0.802103331137022,-0.802103331137022,-0.802103331137022,-0.802103331137022,-0.802103331137022,1,1
"b3[10]",-0.172004696379886,0,-0.172004696379886,-0.172004696379886,-0.172004696379886,-0.172004696379886,-0.172004696379886,1,1
"b3[11]",-0.229953257972781,0.107091070677187,-0.436930058374941,-0.303075250980052,-0.231937349431716,-0.160132017883188,-0.0164711128420192,1.00332330183365,890
"deviance",1836.00504990098,8.40633188608671,1818.1312941757,1830.79947089377,1836.30262249378,1841.43492207393,1851.80254977213,1.05170094249678,61
"eps[1]",0.113211982584223,1.00784312937776,-1.82614657821694,-0.602473019719976,0.115146476382504,0.788577221514601,2.04902407235135,1.00414318123809,690
"eps[2]",0.168492929600851,1.01081996058761,-1.79385338909895,-0.504778971310275,0.156153320101768,0.863715081333664,2.15634980693563,1.01143837826709,230
"eps[3]",0.119169297343442,1.00918180622766,-1.86093376968049,-0.563701584891289,0.118915987385842,0.775650854137885,2.14743841719999,1.00848630927013,450
"eps[4]",0.0586569546050707,0.984463778944716,-1.95661691197616,-0.610949354692355,0.0922406092625065,0.749350872022387,1.93355510347286,1.02131435961425,140
"eps[5]",0.202383173798695,1.03736068018271,-1.81410893629075,-0.531165590840288,0.19585445336953,0.936970858629583,2.26412271556936,1.00794392463932,410
"eps[6]",0.193093265171325,1.00143458427148,-1.72036482301945,-0.48325891268538,0.171065111585101,0.854290558846976,2.21459094187185,1.01324330297494,210
"eps[7]",0.0412245622704955,0.997509593305452,-1.91160198684239,-0.646091946560913,0.0511852604912085,0.716950319306847,2.03448625060012,1.00889065742381,310
"eps[8]",0.463039443284204,1.02884966039669,-1.50755014784565,-0.263104777954017,0.459001894061498,1.18149195146432,2.46361339707673,1.01412753743721,200
"eps[9]",0.443299639161964,0.987963766028403,-1.43899608513119,-0.232935061913034,0.427997030354979,1.14095417583598,2.41206720591536,1.00550507707524,620
"eps[10]",0.475032875144616,0.946597594965923,-1.37396794854119,-0.136586202348473,0.456633620521471,1.07828787497601,2.42378215218667,1.00147084363602,2600
"eps[11]",0.404211090346807,0.952710744992161,-1.3968758109117,-0.258617062543353,0.377872931082181,1.06681279563594,2.27499853943775,1.01550186798298,200
"eps[12]",0.393747804017371,0.970130475825836,-1.44958347777723,-0.284258354021607,0.393947934049828,1.04623491093383,2.36283560253061,1.00382365591724,750
"eps[13]",0.323366895979296,0.938713157359019,-1.49796363259521,-0.347131490750807,0.348521709798338,0.972671401345432,2.10516872101974,1.00968951466459,280
"eps[14]",0.392542462411262,0.948959210135148,-1.36109171684595,-0.269759182135157,0.35591668377339,1.05850635402715,2.24002664627979,1.006410625831,430
"eps[15]",-0.0628616249712903,0.926237183121046,-1.83264468316964,-0.696835684918194,-0.0350308808671215,0.559997943475836,1.72426058269656,1.00447214524532,920
"eps[16]",0.326139417733241,0.930764315521568,-1.49797150519079,-0.286953573722891,0.321498695326191,0.958926767415724,2.10637400235814,1.01641185650608,170
"eps[17]",0.502820325719013,0.899905287740947,-1.27515904860817,-0.119264343908016,0.514084757655851,1.09997046008035,2.28211921159711,1.01040437647791,260
"eps[18]",-0.152200381373907,0.98411238843686,-2.100243518558,-0.821891638415307,-0.156943042096549,0.493590043196909,1.79581980076316,1.00873503164048,320
"eps[19]",0.00555221705591669,0.929836591153018,-1.8999568485231,-0.605294966861268,0.0369318709236803,0.639904925784555,1.76922264089808,1.00471471340403,600
"eps[20]",0.608914259158231,0.929681423073443,-1.24939144663352,-0.0325340663181814,0.63110762294293,1.2648097227802,2.38147336560109,1.02622890368345,100
"eps[21]",-0.0360534697546984,0.913191199505649,-1.80718385428761,-0.637997708672032,-0.0646251240464006,0.56181381938636,1.77673655629837,1.01104782310575,310
"eps[22]",0.0898556731631888,0.917620185053533,-1.69148696175279,-0.511018200963332,0.0642080901821115,0.677716629053883,1.95936555695777,1.00377003319007,1800
"eps[23]",0.122193602242833,0.944674191465952,-1.7303694556782,-0.499762299339547,0.113120762225812,0.763223280550643,1.99406002138856,1.01430993406565,190
"eps[24]",0.102275898218083,0.896481808296497,-1.65766717651098,-0.506730900381879,0.100165662144769,0.707908607727628,1.84279391302101,1.00946887687444,310
"eps[25]",0.574909164647143,0.952633544476621,-1.33952247027625,-0.0659801104918377,0.591098234792989,1.22597255418537,2.33599802815089,1.00966053588766,280
"eps[26]",0.355065247552008,0.95213545137858,-1.52264291474708,-0.247613787001555,0.330749400390491,0.972884531053541,2.28548260112421,1.00613852593841,450
"eps[27]",0.282797975663917,0.917111372907772,-1.542430171002,-0.318762919132398,0.307528901533687,0.884894741826011,2.10908510316719,1.00600710883482,1300
"eps[28]",0.266029200594286,0.984111913945053,-1.62808745451323,-0.38401764126217,0.229051269561223,0.92513999004298,2.23281484050898,1.02256373384428,120
"eps[29]",0.558905970921963,0.919913271085685,-1.26011571957961,-0.0768772050549418,0.564979453174784,1.18353562973138,2.37768322378571,1.0086870482725,700
"eps[30]",0.840731619023414,0.958472821931849,-1.11245599061863,0.215385552391487,0.857135195283549,1.46870504903855,2.68086631376464,1.00213089358924,1500
"eps[31]",0.695325876720183,0.951587632950194,-1.12890557802023,0.0259277614936119,0.708712125743399,1.35964714523366,2.51883736658171,1.0054984378832,500
"eps[32]",-0.213480700597324,0.904530933425343,-2.0429035311857,-0.83447386488782,-0.206108454530522,0.382941015508206,1.54549699884965,1.00433499025047,780
"eps[33]",-0.163391231969679,0.971963915449361,-1.96134247073337,-0.850846538289421,-0.191675619323099,0.478168280031067,1.84490515330781,1.00772599211241,350
"eps[34]",-0.199608232134015,0.967755185261039,-2.06355885882949,-0.870239298428135,-0.210530862712752,0.424317417127159,1.75068907542908,1.00478777978118,590
"eps[35]",0.223840545772922,0.934414180500683,-1.5172739720278,-0.416071077092261,0.192367302096342,0.844208567784041,2.11598557013047,1.01345675855284,220
"eps[36]",0.553954661526305,0.930323896153615,-1.28862080032011,-0.0650914305027687,0.553245331230477,1.16404946165795,2.33114184335518,1.00276592926782,1100
"eps[37]",-0.433652850603611,0.935451185262995,-2.27909778270928,-1.07100008663627,-0.439524953762866,0.23154603576958,1.31584023151415,1.00185352099642,1800
