"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",-6.42133538354367,2.62682647514026,-12.6965888842596,-7.81775301027414,-5.92729554242885,-4.50834422563816,-2.71632304108249,1.00107100607297,4000
"b1[3]",-0.647630605883114,0.161759229324521,-0.965933860586219,-0.757221410524734,-0.646850590804269,-0.539394940267342,-0.328598772309066,1.0062565082988,440
"b1[4]",-4.94470029050593,2.93261899329556,-11.6735205558107,-6.71573608603534,-4.56947580923474,-2.76321544938015,-0.34212241319799,1.00230262986595,1400
"b1[5]",-0.0506645988142373,0.215941232587982,-0.499702662208134,-0.188557077467986,-0.044965307076151,0.0969546256158304,0.360592845364191,1.02040093646613,150
"b1[6]",-0.810411634441328,0.164795904929372,-1.13815118789906,-0.921941089431464,-0.810564938761608,-0.698657242191033,-0.493072494428143,1.00712471213228,380
"b1[7]",-1.70768283728152,0.420570361868861,-2.57281711382354,-1.97423786785091,-1.70742140826205,-1.4211840314779,-0.908368032908965,1.0092971246388,290
"b1[8]",-5.04942761941991,2.77412663503874,-11.6423482507005,-6.71725103273084,-4.58002381939831,-2.99669540092449,-0.896485183693172,1.00155205295775,2400
"b1[9]",-5.2780899000769,2.94361264311351,-12.511608815589,-6.93898350524097,-4.73122645561049,-3.16423330161464,-1.00617608376501,1.00252970358937,1200
"b1[10]",-6.05674266221897,2.78873964187785,-12.5234603899808,-7.70337517169978,-5.58287919573987,-3.9817232977632,-1.86433615466216,1.00212474074969,3900
"b1[11]",-6.14949089036005,2.67947011496097,-12.3118534564987,-7.70433459618896,-5.67777659439341,-4.17419137166253,-2.18255053709094,1.00614215471868,570
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.703190873332344,0.135378126396231,-0.978907092085659,-0.793019850826216,-0.699563045871169,-0.609653890789088,-0.449920666745026,1.0013867833478,2800
"b3[1]",0,0,0,0,0,0,0,1,1
"b3[2]",0.341110382046475,0.274396061629925,-0.176592506690521,0.152276403964826,0.339095513571189,0.521393558768025,0.916910238016561,1.03646522953958,77
"b3[3]",0.199272312148263,0.274802693550359,-0.36008624503839,0.01835917988889,0.194541962452431,0.376734266969657,0.743690664550246,1.03951865444188,72
"b3[4]",0.0702953073921453,0.295617086290663,-0.495772746944964,-0.130763269730924,0.072408272767203,0.260202174632468,0.645624179801589,1.04209185366157,66
