"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0,0,0,0,0,0,0,1,1
"b1[2]",-6.46272482594425,2.61001703040708,-12.6603611685202,-7.92338887360493,-5.98369408370533,-4.54260465153827,-2.68967295722208,1.00115140191037,9900
"b1[3]",-0.631530688734117,0.159379776817833,-0.947786155886385,-0.737809444448348,-0.630373654434557,-0.524827145612615,-0.322924108902895,1.00201519915382,2200
"b1[4]",-4.76336827925687,2.92373366579804,-11.4325505854396,-6.51009416128888,-4.34755706704024,-2.60075662209814,-0.226602380527633,1.00097384809656,20000
"b1[5]",-0.0517129475295586,0.21522862387353,-0.464743198241298,-0.198327942434735,-0.0568221323787807,0.0906986475174865,0.392242359057659,1.00218995279838,1900
"b1[6]",-0.779644441971285,0.166374856507179,-1.10617541854623,-0.893329717245429,-0.779714397549766,-0.666531200221444,-0.456095845220601,1.00205180433089,2200
"b1[7]",-1.78593612519813,0.435140210689691,-2.66365650387413,-2.07185592303884,-1.77526452762021,-1.48816556943625,-0.95736620391717,1.00252556953596,1500
"b1[8]",-5.24736206435475,2.84191603132594,-11.89791298224,-6.92097530621551,-4.78252641716968,-3.14580610311434,-1.01219546914058,1.00144058597469,4600
"b1[9]",-5.24608128579788,2.83353670513042,-11.8601759350381,-6.89555796053539,-4.80323590153969,-3.16665308112805,-1.00881814663022,1.00101547352164,20000
"b1[10]",-5.7863550040577,2.72221280521934,-12.3219454857064,-7.33954255837319,-5.30210718049524,-3.7904929528159,-1.82122501909562,1.00090626493584,20000
"b1[11]",-6.04073004757962,2.68262329794126,-12.4208046767462,-7.54774666262544,-5.59676874481385,-4.06661698233584,-2.11423364160277,1.00172467398307,3000
"b2[1]",0,0,0,0,0,0,0,1,1
"b2[2]",-0.707479151732427,0.135552618887743,-0.974870935578972,-0.797021582618332,-0.70754038290263,-0.615417401573188,-0.443458037461014,1.00211238194978,2100
"b3[1]",0,0,0,0,0,0,0,1,1
"b3[2]",0.396543334639115,0.308067690556089,-0.194851795133203,0.184738266028047,0.393600311886145,0.605619214156314,1.00116292010688,1.00347873524473,970
"b3[3]",0.278156851322409,0.305641569312452,-0.312423577007131,0.0690788400562496,0.270998352687563,0.484868886126447,0.89257498020797,1.00464845838093,670
"b3[4]",0.292511065001905,0.348106240641715,-0.372509206329107,0.0506883431933337,0.282975718459905,0.524356182915711,0.993337090813725,1.00770683916487,370
"b3[5]",0.106435061129949,0.306782657667329,-0.471151584354735,-0.104721259180782,0.100683490706557,0.306867047769797,0.732316191195425,1.00273735715695,1400
"b3[7]",-0.274931671849248,0.30614397627728,-0.855250180461424,-0.486314132611687,-0.283701465754999,-0.0726283128360267,0.354774469500453,1.00414627098835,770
"b3[8]",-0.643556593005509,0.35475367320744,-1.33965936931425,-0.881773445318395,-0.643602693831482,-0.406609196394179,0.0610078268312297,1.00285828051712,1300
"deviance",1163.20375227738,15.5655974905273,1134.49905059571,1152.09912169227,1162.6191465265,1173.76260667406,1194.59965209317,1.02507381850306,110
"eps[1]",-0.0421318568355442,1.0084683945825,-2.0228088842878,-0.720990148789747,-0.0362552802939071,0.635477021256438,1.92900479692922,1.0010173307796,20000
"eps[2]",-0.0534107072294405,1.00707298332969,-2.04685936267287,-0.731820982906024,-0.0520200506574121,0.635946966249905,1.90849789972951,1.00130183187841,6200
"eps[3]",-0.0868884802162129,1.00080241248798,-2.02563565230989,-0.765553534076243,-0.0953527817455605,0.588342389777883,1.87650878095534,1.00098995227048,20000
"eps[4]",-0.0910726244611074,1.00319218487777,-2.03938493435991,-0.77544926230031,-0.0951923997560294,0.584348000351329,1.85659718426893,1.00140192746612,5000
"eps[5]",-0.179347009181294,1.00491192096196,-2.1311274445806,-0.861255801594279,-0.196780982735295,0.504181041040351,1.81033032692345,1.0014372822402,4600
"eps[6]",-0.218260019757337,1.05075463784052,-2.25814689271312,-0.925575083522978,-0.232683177170679,0.491113234558181,1.86316702399082,1.00156582725241,3800
